"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0051100","negative regulation of binding",0.00325026456123025,158,7.9664745128176,3.03203276138345e-85,1.44294439114238e-81,278494,7,37,2.04228421970357,0.050540292369963,0.835143233988381
"GO:0030157","pancreatic juice secretion",0.000242126971142279,66,44.671297085767,4.71753007750613e-83,1.12253628194258e-79,491038,1,6,1.79915514592934,0.44199032929871,0.99014824570132
"GO:0043267","negative regulation of potassium ion transport",0.0021987879726575,132,9.83826180138782,3.31287896043977e-82,5.25533032424429e-79,335663,7,19,3.97707979626486,0.00106820781969572,0.287121606099588
"GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste",0.000697375575834042,82,19.2696983429169,7.19771534752751e-74,8.56348183472086e-71,377016,5,12,4.49788786482335,0.0030765203638585,0.499952010749668
"GO:1902307","positive regulation of sodium ion transmembrane transport",0.00151962235902519,102,10.9999900803288,2.40493637016079e-68,2.28901843711904e-65,378153,4,18,2.39887352790579,0.0785655666548782,0.892347331051468
"GO:1901380","negative regulation of potassium ion transmembrane transport",0.00156271559169884,102,10.6966558495465,3.22518029544444e-67,2.55810550433668e-64,379418,5,14,3.85533245556287,0.00664662337325203,0.593459655344574
"GO:0050912","detection of chemical stimulus involved in sensory perception of taste",0.00093544803257785,82,14.3655409066475,5.03001589454225e-64,3.41969223458951e-61,377016,5,16,3.37341589861751,0.0124052410678238,0.630640245446622
"GO:0071476","cellular hypotonic response",0.000536190276671902,66,20.1721782936994,5.04286407153863e-61,2.99987376455654e-58,491038,1,6,1.79915514592934,0.44199032929871,0.99014824570132
"GO:0070534","protein K63-linked ubiquitination",0.00554493416595396,167,4.93568998685018,9.88249087894355e-61,5.22564156587693e-58,310635,10,57,1.89384752203088,0.0349995719224886,0.760561473877275
"GO:0006513","protein monoubiquitination",0.00572755709639412,165,4.72109036991666,1.78407178460636e-57,8.49039762294168e-55,290246,8,44,1.96271470465019,0.0466927975167986,0.801059716620661
"GO:0010766","negative regulation of sodium ion transport",0.00148789779918004,90,9.91281964729114,8.3730015345026e-57,3.6224649366089e-54,407565,3,10,3.23847926267281,0.0580231739536048,0.839307856672357
"GO:0050913","sensory perception of bitter taste",0.00124462558421733,82,10.796995617353,1.18166880815645e-54,4.6863015483471e-52,377016,5,17,3.17497966928707,0.0162597270362631,0.658672887152463
