"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0044557","relaxation of smooth muscle",0.000966682109398392,64,14.9550121747407,2.01175533446372e-51,9.62826103074336e-48,409208,4,11,5.29109712880596,0.00495400971791828,0.246978026145384
"GO:0060052","neurofilament cytoskeleton organization",0.000314903804016843,42,30.1274144224512,1.74598662146499e-46,4.17814598516573e-43,331683,5,9,8.08362061345355,0.000151691537345083,0.055845822902582
"GO:0098719","sodium ion import across plasma membrane",0.00212701003015591,76,8.07113353056945,3.09251810840494e-42,4.93359722227535e-39,305759,5,27,2.69454020448452,0.0346073904977214,0.39205977494008
"GO:1901475","pyruvate transmembrane transport",0.000279989126529164,36,29.0436913678816,1.60389528143583e-39,1.91906070423797e-36,485455,1,6,2.42508618403606,0.347713552515212,0.686489224423375
"GO:0060402","calcium ion transport into cytosol",0.00133793497798518,60,10.1299364456931,5.78902880075611e-39,5.54125836808375e-36,360959,4,28,2.07864530060234,0.122514426689718,0.534993811038629
"GO:0051030","snRNA transport",0.00015573658835566,30,43.5132053378101,2.51683605633298e-38,2.00759622760161e-35,489055,1,7,2.07864530060234,0.3925573538983,0.709508873020114
"GO:0006404","RNA import into nucleus",0.0001630550254882,30,41.5601918888433,9.67484759316102e-38,6.61483151155266e-35,489055,1,6,2.42508618403606,0.347713552515212,0.686489224423375
"GO:0006883","intracellular sodium ion homeostasis",0.00236857296575346,73,6.96188059135027,1.49652334891808e-36,8.95295093490243e-34,310858,2,25,1.16404136833731,0.520397547821403,0.771568359316367
"GO:0086064","cell communication by electrical coupling involved in cardiac conduction",0.00172783298067453,63,8.23624520969443,9.00882421030636e-36,4.79069251894736e-33,351909,3,13,3.35781163943455,0.0551266915387645,0.437821115616924
"GO:2000611","positive regulation of thyroid hormone generation",0.000206988947008095,30,32.7389372509095,1.03014222307129e-34,4.93026067961921e-32,397086,2,5,5.82020684168655,0.0410469934113886,0.408365586312933
"GO:0086036","regulation of cardiac muscle cell membrane potential",0.00106564673935173,50,10.5985687649991,1.25106715126974e-33,5.44327944179723e-31,387577,1,9,1.61672412269071,0.473214436704022,0.74417124997609
"GO:0000056","ribosomal small subunit export from nucleus",0.000267812245908587,31,26.1469923785499,6.85953322447152e-33,2.73581050102672e-30,476670,2,9,3.23344824538142,0.123168910855716,0.534993811038629
