"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0044557","relaxation of smooth muscle",0.000966682109398392,64,14.9550121747407,2.01175533446372e-51,9.62826103074336e-48,409208,4,11,5.29109712880596,0.00495400971791828,0.246978026145384,14.9550121747407,"relaxation of smooth muscle",9.62826103074336e-48,47.0164521441267,"mouse_specific"
"GO:0060052","neurofilament cytoskeleton organization",0.000314903804016843,42,30.1274144224512,1.74598662146499e-46,4.17814598516573e-43,331683,5,9,8.08362061345355,0.000151691537345083,0.055845822902582,30.1274144224512,"neurofilament cytoskeleton organization",4.17814598516573e-43,42.379016389764,"mouse_specific"
"GO:0098719","sodium ion import across plasma membrane",0.00212701003015591,76,8.07113353056945,3.09251810840494e-42,4.93359722227535e-39,305759,5,27,2.69454020448452,0.0346073904977214,0.39205977494008,8.07113353056945,"sodium ion import across plasma membrane",4.93359722227535e-39,38.3068363090991,"mouse_specific"
"GO:1901475","pyruvate transmembrane transport",0.000279989126529164,36,29.0436913678816,1.60389528143583e-39,1.91906070423797e-36,485455,1,6,2.42508618403606,0.347713552515212,0.686489224423375,29.0436913678816,"pyruvate transmembrane transport",1.91906070423797e-36,35.7169112873288,"mouse_specific"
"GO:0060402","calcium ion transport into cytosol",0.00133793497798518,60,10.1299364456931,5.78902880075611e-39,5.54125836808375e-36,360959,4,28,2.07864530060234,0.122514426689718,0.534993811038629,10.1299364456931,"calcium ion transport into cytosol",5.54125836808375e-36,35.256391599846,"mouse_specific"
"GO:0051030","snRNA transport",0.00015573658835566,30,43.5132053378101,2.51683605633298e-38,2.00759622760161e-35,489055,1,7,2.07864530060234,0.3925573538983,0.709508873020114,43.5132053378101,"snRNA transport",2.00759622760161e-35,34.6973236290556,"mouse_specific"
"GO:0006404","RNA import into nucleus",0.0001630550254882,30,41.5601918888433,9.67484759316102e-38,6.61483151155266e-35,489055,1,6,2.42508618403606,0.347713552515212,0.686489224423375,41.5601918888433,"RNA import into nucleus",6.61483151155266e-35,34.1794812133865,"mouse_specific"
"GO:0006883","intracellular sodium ion homeostasis",0.00236857296575346,73,6.96188059135027,1.49652334891808e-36,8.95295093490243e-34,310858,2,25,1.16404136833731,0.520397547821403,0.771568359316367,6.96188059135027,"intracellular sodium ion homeostasis",8.95295093490243e-34,33.0480337955763,"mouse_specific"
"GO:0086064","cell communication by electrical coupling involved in cardiac conduction",0.00172783298067453,63,8.23624520969443,9.00882421030636e-36,4.79069251894736e-33,351909,3,13,3.35781163943455,0.0551266915387645,0.437821115616924,8.23624520969443,"cell communication by electrical coupling involved in cardiac conduction",4.79069251894736e-33,32.3196017025732,"mouse_specific"
"GO:2000611","positive regulation of thyroid hormone generation",0.000206988947008095,30,32.7389372509095,1.03014222307129e-34,4.93026067961921e-32,397086,2,5,5.82020684168655,0.0410469934113886,0.408365586312933,32.7389372509095,"positive regulation of thyroid hormone generation",4.93026067961921e-32,31.3071301174921,"mouse_specific"
