query_peak_id	query_chrom	query_start	query_end	target_peak_id	target_chrom	target_start	target_end	overlap_bp	query_overlap_fraction	target_overlap_fraction	reciprocal_overlap_score	reciprocal_best_hit	source_species	target_species
human_ocr_0062276	chr1	6490252	6490419	mouse_ocr_0046780	chr1	6490164	6490755	167	1.0	0.2825719120135364	0.2825719120135364	True	human	mouse
human_ocr_0019739	chr1	6752253	6752460	mouse_ocr_0012152	chr1	6752180	6752708	207	1.0	0.39204545454545453	0.39204545454545453	True	human	mouse
human_ocr_0037586	chr1	6859180	6859324	mouse_ocr_0024189	chr1	6859018	6859338	144	1.0	0.45	0.45	True	human	mouse
human_ocr_0000184	chr1	9747507	9748076	mouse_ocr_0000027	chr1	9747449	9748814	569	1.0	0.41684981684981687	0.41684981684981687	True	human	mouse
human_ocr_0067434	chr1	14309630	14309748	mouse_ocr_0038967	chr1	14309662	14310074	86	0.7288135593220338	0.2087378640776699	0.2087378640776699	True	human	mouse
human_ocr_0067434	chr1	14309766	14310019	mouse_ocr_0038967	chr1	14309662	14310074	253	1.0	0.6140776699029126	0.6140776699029126	True	human	mouse
human_ocr_0036182	chr1	16440257	16440467	mouse_ocr_0023913	chr1	16440041	16440527	210	1.0	0.43209876543209874	0.43209876543209874	True	human	mouse
human_ocr_0075392	chr1	17097296	17097598	mouse_ocr_0003859	chr1	17097239	17098176	302	1.0	0.3223052294557097	0.3223052294557097	True	human	mouse
human_ocr_0023510	chr1	20058360	20058568	mouse_ocr_0001682	chr1	20058251	20058741	208	1.0	0.42448979591836733	0.42448979591836733	True	human	mouse
human_ocr_0023510	chr1	20058568	20058675	mouse_ocr_0001682	chr1	20058251	20058741	107	1.0	0.21836734693877552	0.21836734693877552	True	human	mouse
human_ocr_0067645	chr1	20939193	20939251	mouse_ocr_0032123	chr1	20939103	20939364	58	1.0	0.2222222222222222	0.2222222222222222	True	human	mouse
human_ocr_0051912	chr1	22070084	22070215	mouse_ocr_0033123	chr1	22070027	22070492	131	1.0	0.2817204301075269	0.2817204301075269	True	human	mouse
human_ocr_0051912	chr1	22070216	22070313	mouse_ocr_0033123	chr1	22070027	22070492	97	1.0	0.2086021505376344	0.2086021505376344	True	human	mouse
human_ocr_0009582	chr1	22533402	22533767	mouse_ocr_0013707	chr1	22533104	22534034	365	1.0	0.3924731182795699	0.3924731182795699	True	human	mouse
human_ocr_0009582	chr1	22533839	22534225	mouse_ocr_0013707	chr1	22533104	22534034	195	0.5051813471502591	0.20967741935483872	0.20967741935483872	True	human	mouse
human_ocr_0007608	chr1	23762622	23762821	mouse_ocr_0015570	chr1	23762697	23763277	124	0.6231155778894473	0.21379310344827587	0.21379310344827587	True	human	mouse
human_ocr_0007608	chr1	23762824	23763237	mouse_ocr_0015570	chr1	23762697	23763277	413	1.0	0.7120689655172414	0.7120689655172414	True	human	mouse
human_ocr_0007453	chr1	24107841	24108076	mouse_ocr_0016883	chr1	24107351	24108406	235	1.0	0.22274881516587677	0.22274881516587677	True	human	mouse
human_ocr_0043525	chr1	31051683	31051853	mouse_ocr_0028804	chr1	31051217	31051955	170	1.0	0.23035230352303523	0.23035230352303523	True	human	mouse
human_ocr_0049953	chr1	34121528	34121650	mouse_ocr_0034584	chr1	34121105	34121634	106	0.8688524590163934	0.2003780718336484	0.2003780718336484	True	human	mouse
human_ocr_0003451	chr1	36512237	36512640	mouse_ocr_0002124	chr1	36511447	36513047	403	1.0	0.251875	0.251875	True	human	mouse
human_ocr_0016129	chr1	36635111	36635275	mouse_ocr_0013593	chr1	36634839	36635350	164	1.0	0.32093933463796476	0.32093933463796476	True	human	mouse
human_ocr_0043022	chr1	37025999	37026185	mouse_ocr_0018265	chr1	37026031	37026334	154	0.8279569892473119	0.5082508250825083	0.5082508250825083	True	human	mouse
human_ocr_0021457	chr1	38836143	38836390	mouse_ocr_0009767	chr1	38835491	38836649	247	1.0	0.21329879101899826	0.21329879101899826	True	human	mouse
human_ocr_0004126	chr1	39535990	39536343	mouse_ocr_0002593	chr1	39535389	39536398	353	1.0	0.34985133795837464	0.34985133795837464	True	human	mouse
human_ocr_0055967	chr1	39686016	39686075	mouse_ocr_0026804	chr1	39685887	39686168	59	1.0	0.2099644128113879	0.2099644128113879	True	human	mouse
human_ocr_0050463	chr1	51289348	51289875	mouse_ocr_0014704	chr1	51288678	51290334	527	1.0	0.31823671497584544	0.31823671497584544	True	human	mouse
human_ocr_0039481	chr1	51333917	51334170	mouse_ocr_0019599	chr1	51333973	51334445	197	0.7786561264822134	0.4173728813559322	0.4173728813559322	True	human	mouse
human_ocr_0039481	chr1	51334250	51334364	mouse_ocr_0019599	chr1	51333973	51334445	114	1.0	0.24152542372881355	0.24152542372881355	True	human	mouse
human_ocr_0017592	chr1	51782175	51782409	mouse_ocr_0010296	chr1	51782093	51782650	234	1.0	0.42010771992818674	0.42010771992818674	True	human	mouse
human_ocr_0064213	chr1	53851494	53851669	mouse_ocr_0037379	chr1	53851389	53851711	175	1.0	0.5434782608695652	0.5434782608695652	True	human	mouse
human_ocr_0000829	chr1	54250667	54250880	mouse_ocr_0000752	chr1	54250445	54251077	213	1.0	0.3370253164556962	0.3370253164556962	True	human	mouse
human_ocr_0005906	chr1	55237277	55238049	mouse_ocr_0005502	chr1	55236913	55238146	772	1.0	0.6261151662611517	0.6261151662611517	True	human	mouse
human_ocr_0067581	chr1	55239436	55239530	mouse_ocr_0034985	chr1	55239351	55239584	94	1.0	0.4034334763948498	0.4034334763948498	True	human	mouse
human_ocr_0052343	chr1	55736536	55736608	mouse_ocr_0024388	chr1	55736410	55736683	72	1.0	0.26373626373626374	0.26373626373626374	True	human	mouse
human_ocr_0027026	chr1	56969506	56969620	mouse_ocr_0017473	chr1	56969443	56969789	114	1.0	0.32947976878612717	0.32947976878612717	True	human	mouse
human_ocr_0027026	chr1	56969630	56969903	mouse_ocr_0017473	chr1	56969443	56969789	159	0.5824175824175825	0.4595375722543353	0.4595375722543353	True	human	mouse
human_ocr_0005449	chr1	57406754	57407073	mouse_ocr_0007439	chr1	57406099	57407143	319	1.0	0.3055555555555556	0.3055555555555556	True	human	mouse
human_ocr_0014105	chr1	59178522	59178720	mouse_ocr_0017269	chr1	59178440	59178932	198	1.0	0.4024390243902439	0.4024390243902439	True	human	mouse
human_ocr_0050309	chr1	59623492	59623596	mouse_ocr_0022101	chr1	59623391	59623653	104	1.0	0.3969465648854962	0.3969465648854962	True	human	mouse
human_ocr_0021083	chr1	62703195	62703368	mouse_ocr_0014849	chr1	62703018	62703794	173	1.0	0.22293814432989692	0.22293814432989692	True	human	mouse
human_ocr_0023599	chr1	62795690	62796011	mouse_ocr_0026910	chr1	62795599	62796144	321	1.0	0.5889908256880734	0.5889908256880734	True	human	mouse
human_ocr_0000634	chr1	64532678	64533081	mouse_ocr_0000230	chr1	64532029	64533641	403	1.0	0.25	0.25	True	human	mouse
human_ocr_0055259	chr1	65282938	65283012	mouse_ocr_0033788	chr1	65282832	65283095	74	1.0	0.2813688212927757	0.2813688212927757	True	human	mouse
human_ocr_0052614	chr1	69450564	69450652	mouse_ocr_0036507	chr1	69450511	69450816	88	1.0	0.28852459016393445	0.28852459016393445	True	human	mouse
human_ocr_0052614	chr1	69450712	69450775	mouse_ocr_0036507	chr1	69450511	69450816	63	1.0	0.20655737704918034	0.20655737704918034	True	human	mouse
human_ocr_0021997	chr1	69470757	69471071	mouse_ocr_0022321	chr1	69470808	69471202	263	0.8375796178343949	0.6675126903553299	0.6675126903553299	True	human	mouse
human_ocr_0031492	chr1	69689102	69689176	mouse_ocr_0019017	chr1	69689076	69689334	74	1.0	0.2868217054263566	0.2868217054263566	True	human	mouse
human_ocr_0031492	chr1	69689176	69689242	mouse_ocr_0019017	chr1	69689076	69689334	66	1.0	0.2558139534883721	0.2558139534883721	True	human	mouse
human_ocr_0032046	chr1	74249472	74249615	mouse_ocr_0007859	chr1	74249321	74249941	143	1.0	0.2306451612903226	0.2306451612903226	True	human	mouse
human_ocr_0001273	chr1	74284421	74284739	mouse_ocr_0002275	chr1	74284160	74285622	318	1.0	0.21751025991792067	0.21751025991792067	True	human	mouse
